column_name,description,data_type
Tumor_Sample_UUID,Unique GDC identifier for tumor aliquot (10189 unique),STRING
Tumor_Seq_Allele1,Primary data genotype for tumor sequencing (discovery) allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases,STRING
Tumor_Seq_Allele2,Primary data genotype for tumor sequencing (discovery) allele 2. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases,STRING
Tumor_Validation_Allele1,Secondary data from orthogonal technology. Tumor genotyping (validation) for allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases,STRING
Tumor_Validation_Allele2,Secondary data from orthogonal technology. Tumor genotyping (validation) for allele 2,STRING
UNIPARC,UniParc identifier of protein product,STRING
VARIANT_CLASS,Sequence Ontology variant class,STRING
Validation_Method,The assay platforms used for the validation call,STRING
Variant_Classification,Translational effect of variant allele,STRING
Variant_Type,"Type of mutation. TNP (tri-nucleotide polymorphism) is analogous to DNP (di-nucleotide polymorphism) but for three consecutive nucleotides. ONP (oligo-nucleotide polymorphism) is analogous to TNP but for consecutive runs of four or more (SNP, DNP, TNP, ONP, INS, DEL, or Consolidated)",STRING
aliquot_barcode_normal,"TCGA aliquot barcode for the normal control, eg TCGA-12-1089-01A-01D-0517-01",STRING
aliquot_barcode_tumor,"TCGA aliquot barcode for the tumor, eg TCGA-12-1089-01A-01D-0517-01",STRING
all_effects,"A semicolon delimited list of all possible variant effects, sorted by priority ([Symbol,Consequence,HGVSp_Short,Transcript_ID,RefSeq,HGVSc,Impact,Canonical,Sift,PolyPhen,Strand])",STRING
cDNA_position,Relative position of base pair in the cDNA sequence as a fraction. A - symbol is displayed as the numerator if the variant does not appear in cDNA,STRING
callerName,"|-delimited list of mutation caller(s) that agreed on this particular call, always in alphabetical order: muse, mutect, somaticsniper, varscan",STRING
case_barcode,"Original TCGA case barcode, eg TCGA-DX-A8BN",STRING
case_id,Unique GDC identifier for the underlying case,STRING
dbSNP_RS,"The rs-IDs from the   dbSNP database, novel if not found in any database used, or null if there is no dbSNP record, but it is found in other databases",STRING
dbSNP_Val_Status,The dbSNP validation status is reported as a semicolon-separated list of statuses. The union of all rs-IDs is taken when there are multiple,STRING
fileName,|-delimited list of name of underlying MAF file,STRING
fileUUID,|-delimited list of unique GDC identifiers for underlying MAF file,STRING
n_depth,Read depth across this locus in normal BAM,STRING
normal_bam_uuid,Unique GDC identifier for the underlying normal bam file,STRING
project_short_name,"Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.",STRING
sample_barcode_normal,"TCGA sample barcode for the normal control, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries",STRING
sample_barcode_tumor,"TCGA sample barcode for the tumor, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries",STRING
src_vcf_id,|-delimited list of GDC VCF file identifiers,STRING
t_alt_count,Read depth supporting the variant allele in tumor BAM,STRING
t_depth,Read depth across this locus in tumor BAM,STRING
t_ref_count,Read depth supporting the reference allele in tumor BAM,STRING
tumor_bam_uuid,Unique GDC identifier for the underlying bam file,STRING
